"","Egypt_ali_syst","Egypt_kandeil","Ethiopia_reusken_eth","Kenya_deem","Kenya_munyua","Kenya_ommeh","Senegal_kandeil","Tunisia_kandeil","Tunisia_reusken_tun","Uganda_kandeil","Iraq_kandeil","Iraq_thwiny","Jordan_kandeil","Jordan_van_doremalen","KSA_alagaili_1992","KSA_alagaili_2013","KSA_harrath","KSA_hemida","KSA_kandeil","UAE_wernery_acute","Bangladesh_islam","Pakistan_saqib","Pakistan_zohaib","Ab_susc","sigma","red_shed","omega"
"1","4.2 (3.7, 5.1)","4 (3.5, 4.7)","14.9 (9.6, 44)","2.6 (2.1, 3.5)","6.8 (5.5, 13.4)","2.9 (2.5, 3.7)","2.9 (2.3, 4.6)","5.8 (4.6, 12.8)","2.2 (1.8, 3.1)","3.2 (2.6, 4.5)","2.6 (1.7, 35.3)","10.6 (6.4, 43)","6.9 (5, 13.8)","14.8 (7.8, 43.1)","10.9 (7.2, 36.3)","7.5 (5.3, 15.7)","13.2 (7.5, 43.1)","16.6 (10.4, 41.7)","4.5 (3.4, 12.6)","33.7 (18.5, 44.5)","1.7 (1.3, 3.2)","1.9 (1.7, 2.3)","3.9 (3.3, 4.9)","0.75","0.033","0.011","0.014"
"2","1.9 (1.8, 2.1)","1.9 (1.8, 2)","3 (2.6, 4.9)","1.7 (1.4, 1.8)","2.3 (2.2, 2.9)","1.7 (1.6, 1.9)","1.7 (1.5, 2)","2.2 (2, 2.8)","1.5 (1.3, 1.7)","1.8 (1.7, 2)","1.7 (1.3, 4.3)","2.7 (2.3, 4.8)","2.3 (2.1, 2.9)","3 (2.4, 4.8)","2.7 (2.4, 4.4)","2.4 (2.1, 3)","2.9 (2.4, 4.8)","3.1 (2.6, 4.7)","2 (1.8, 2.8)","4.2 (3.2, 4.9)","1.3 (1.1, 1.8)","1.4 (1.3, 1.5)","1.9 (1.8, 2.1)","0.75","0.033","0.500","0.014"
"3","2.7 (2.5, 3)","2.6 (2.4, 2.8)","5 (4.1, 8.9)","2 (1.6, 2.4)","3.5 (3.1, 4.8)","2.2 (1.9, 2.5)","2.2 (1.8, 2.8)","3.2 (2.8, 4.7)","1.7 (1.5, 2.3)","2.3 (2, 2.7)","2 (1.4, 7.8)","4.3 (3.4, 8.8)","3.5 (3, 4.8)","5 (3.7, 8.8)","4.4 (3.6, 7.9)","3.6 (3, 5.1)","4.7 (3.7, 8.8)","5.3 (4.3, 8.6)","2.7 (2.4, 4.7)","7.6 (5.6, 9)","1.4 (1.2, 2.3)","1.6 (1.4, 1.8)","2.5 (2.3, 2.9)","0.75","0.033","0.250","0.014"
"4","4.2 (3.6, 5.1)","3.9 (3.4, 4.7)","14.6 (9.4, 42.9)","2.6 (2.1, 3.5)","6.8 (5.5, 13.1)","2.9 (2.5, 3.7)","2.9 (2.3, 4.6)","5.8 (4.6, 12.6)","2.2 (1.7, 3)","3.2 (2.6, 4.4)","2.6 (1.7, 34.3)","10.4 (6.3, 41.9)","6.8 (5, 13.6)","14.5 (7.7, 41.9)","10.8 (7.1, 35.3)","7.4 (5.2, 15.4)","12.9 (7.4, 42)","16.2 (10.3, 40.6)","4.4 (3.3, 12.4)","32.8 (18.1, 43.4)","1.7 (1.3, 3.2)","1.9 (1.7, 2.3)","3.8 (3.3, 4.9)","1.00","0.033","0.011","0.014"
"5","1.7 (1.6, 1.8)","1.7 (1.6, 1.7)","2.5 (2.1, 4.3)","1.4 (1.3, 1.6)","1.9 (1.8, 2.4)","1.5 (1.4, 1.6)","1.5 (1.3, 1.7)","1.8 (1.7, 2.3)","1.3 (1.2, 1.5)","1.5 (1.4, 1.7)","1.4 (1.2, 3.7)","2.2 (1.9, 4.2)","1.9 (1.8, 2.4)","2.5 (2, 4.2)","2.2 (1.9, 3.8)","2 (1.8, 2.5)","2.4 (2, 4.2)","2.6 (2.2, 4.1)","1.7 (1.6, 2.3)","3.6 (2.7, 4.3)","1.2 (1.1, 1.5)","1.2 (1.2, 1.3)","1.7 (1.5, 1.8)","1.00","0.033","0.500","0.014"
"6","4.3 (3.7, 5.3)","4 (3.5, 4.8)","15.7 (9.9, 48.3)","2.6 (2.1, 3.6)","7 (5.7, 13.9)","3 (2.5, 3.8)","3 (2.3, 4.7)","6 (4.7, 13.3)","2.2 (1.8, 3.1)","3.2 (2.6, 4.6)","2.6 (1.7, 38.4)","11 (6.6, 47.1)","7.1 (5.2, 14.5)","15.5 (8, 47.2)","11.3 (7.4, 39.6)","7.7 (5.4, 16.6)","13.7 (7.8, 47.3)","17.5 (10.8, 45.7)","4.5 (3.4, 13.1)","36.6 (19.7, 48.8)","1.7 (1.3, 3.3)","1.9 (1.7, 2.3)","3.9 (3.3, 5)","0.25","0.033","0.011","0.014"
"7","3.1 (2.8, 3.5)","2.9 (2.6, 3.3)","5.9 (4.9, 9.1)","2.2 (1.8, 2.7)","4.1 (3.6, 5.7)","2.4 (2.1, 2.8)","2.4 (2, 3.3)","3.7 (3.3, 5.6)","1.9 (1.6, 2.4)","2.5 (2.2, 3.2)","2.2 (1.5, 8.4)","5.1 (3.9, 9)","4.1 (3.5, 5.8)","5.9 (4.4, 9)","5.2 (4.2, 8.5)","4.3 (3.5, 6.1)","5.7 (4.4, 9.1)","6.2 (5.1, 8.9)","3.2 (2.6, 5.6)","8.2 (6.5, 9.2)","1.5 (1.2, 2.5)","1.7 (1.5, 2)","2.9 (2.6, 3.4)","0.25","0.033","0.500","0.014"
"8","4.2 (3.7, 5.2)","4 (3.5, 4.8)","15.2 (9.6, 47.1)","2.6 (2.1, 3.5)","6.9 (5.6, 13.5)","2.9 (2.5, 3.7)","2.9 (2.3, 4.6)","5.9 (4.6, 12.9)","2.2 (1.8, 3.1)","3.2 (2.6, 4.5)","2.6 (1.7, 37.2)","10.7 (6.4, 46)","6.9 (5.1, 14)","15 (7.8, 46.1)","11 (7.3, 38.4)","7.5 (5.3, 16)","13.3 (7.6, 46.1)","16.9 (10.6, 44.6)","4.5 (3.4, 12.7)","35.5 (19, 47.7)","1.7 (1.3, 3.2)","1.9 (1.7, 2.3)","3.9 (3.3, 5)","0.75","0.011","0.011","0.014"
"9","2 (1.8, 2.3)","1.9 (1.8, 2.2)","3.6 (2.9, 7.6)","1.5 (1.3, 1.8)","2.5 (2.3, 3.4)","1.6 (1.5, 1.8)","1.6 (1.4, 2.1)","2.4 (2.1, 3.4)","1.4 (1.3, 1.6)","1.7 (1.5, 2.1)","1.5 (1.3, 6.4)","3.1 (2.4, 7.4)","2.5 (2.3, 3.5)","3.6 (2.6, 7.4)","3.1 (2.6, 6.5)","2.6 (2.3, 3.7)","3.4 (2.6, 7.4)","3.9 (3, 7.2)","2.1 (1.7, 3.3)","6.1 (4.1, 7.6)","1.2 (1.1, 1.7)","1.3 (1.2, 1.4)","1.9 (1.7, 2.2)","0.75","0.011","0.500","0.014"
"10","4.2 (3.7, 5.1)","4 (3.5, 4.7)","14.7 (9.5, 40.8)","2.6 (2.1, 3.5)","6.8 (5.5, 13.1)","2.9 (2.5, 3.7)","2.9 (2.3, 4.6)","5.8 (4.6, 12.6)","2.2 (1.8, 3.1)","3.2 (2.6, 4.5)","2.6 (1.7, 33.3)","10.5 (6.4, 39.9)","6.9 (5, 13.6)","14.5 (7.7, 40)","10.8 (7.2, 34.2)","7.5 (5.3, 15.5)","12.9 (7.5, 40)","16.3 (10.3, 38.9)","4.4 (3.4, 12.4)","31.9 (18.1, 41.2)","1.7 (1.3, 3.2)","1.9 (1.7, 2.3)","3.9 (3.3, 4.9)","0.75","1.000","0.011","0.014"
"11","1.9 (1.8, 2)","1.8 (1.8, 1.9)","2.6 (2.4, 3.5)","1.6 (1.4, 1.8)","2.2 (2.1, 2.5)","1.7 (1.6, 1.8)","1.7 (1.5, 1.9)","2.1 (1.9, 2.5)","1.5 (1.3, 1.7)","1.7 (1.6, 1.9)","1.6 (1.3, 3.2)","2.4 (2.2, 3.4)","2.2 (2, 2.5)","2.6 (2.3, 3.4)","2.4 (2.3, 3.2)","2.3 (2, 2.6)","2.5 (2.3, 3.4)","2.7 (2.4, 3.4)","1.9 (1.8, 2.5)","3.2 (2.7, 3.5)","1.3 (1.1, 1.7)","1.4 (1.3, 1.5)","1.8 (1.7, 2)","0.75","1.000","0.500","0.014"
"12","3.4 (3.1, 3.7)","3.3 (3, 3.6)","14.3 (8.9, 45.8)","2.2 (2.2, 2.8)","5.6 (4.7, 7.3)","2.2 (2.2, 2.5)","2.4 (2.2, 3.4)","4.3 (3.6, 5.6)","2.2 (2.2, 2.6)","2.6 (2.2, 3.3)","2.2 (2.2, 37.1)","19.6 (5.7, 45.9)","5.2 (4, 9.9)","12.8 (7, 44.4)","8 (5.6, 39)","6.1 (4.3, 13.2)","19.4 (7.1, 45.7)","14.6 (9.4, 43.6)","3.4 (2.7, 5.8)","34.9 (16.4, 46.3)","2.2 (2.2, 2.5)","2.2 (2.2, 2.2)","3.1 (2.8, 3.6)","0.75","0.033","0.011","0.008"
"13","1.8 (1.8, 1.9)","1.8 (1.7, 1.9)","3 (2.5, 5)","1.5 (1.4, 1.7)","2.2 (2.1, 2.4)","1.5 (1.5, 1.6)","1.6 (1.4, 1.8)","2 (1.9, 2.2)","1.4 (1.3, 1.7)","1.7 (1.5, 1.8)","1.5 (1.2, 4.4)","3.3 (2.2, 5)","2.2 (1.9, 2.6)","2.9 (2.4, 4.9)","2.5 (2.2, 4.6)","2.3 (2, 2.9)","3.3 (2.4, 5)","3 (2.6, 4.9)","1.8 (1.7, 2.3)","4.3 (3.1, 5)","1.2 (1.1, 1.7)","1.3 (1.2, 1.4)","1.8 (1.7, 1.9)","0.75","0.033","0.500","0.008"
